trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.003, 'e': 0.8228346580560184}",25,0,-91.37739138541495,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
67,False,"{'a': 0.003, 'e': 0.8203698531378311}",20,2,-194.46486864747857,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 4}",1
68,False,"{'a': 0.003, 'e': 0.8179124315538594}",20,0,-44.203187632001814,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
69,False,"{'a': 0.003, 'e': 0.8154623711872927}",25,0,-202.4521386994771,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
70,False,"{'a': 0.003, 'e': 0.813019649987571}",25,0,-26.030151110517313,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.003, 'e': 0.8105842459701871}",25,0,-109.77747865541399,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
72,False,"{'a': 0.003, 'e': 0.8081561372164884}",35,11,-101.01652310255913,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 1}",1
73,False,"{'a': 0.003, 'e': 0.8057353018734796}",20,0,-79.85161143288377,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.003, 'e': 0.8033217181536265}",20,10,-106.39533359077222,"{0: 4, 1: 1, 2: 3, 3: 0, 4: 2}",1
75,False,"{'a': 0.003, 'e': 0.8009153643346592}",30,0,-26.23378770779071,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.003, 'e': 0.7985162187593771}",20,2,-18.13294384438356,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
77,False,"{'a': 0.003, 'e': 0.7961242598354538}",35,0,-105.2556396383862,"{0: 25, 1: 0, 2: 9, 3: 0, 4: 1}",0
78,False,"{'a': 0.003, 'e': 0.7937394660352427}",30,4,-140.8236192542932,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 2}",1
79,False,"{'a': 0.003, 'e': 0.7913618158955839}",25,0,-75.25610576612148,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.003, 'e': 0.7889912880176096}",20,9,-22.44259953853263,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.003, 'e': 0.7866278610665535}",35,0,-138.53533834051132,"{0: 24, 1: 0, 2: 7, 3: 3, 4: 1}",0
82,False,"{'a': 0.003, 'e': 0.7842715137715565}",20,9,-17.18296386353553,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
83,False,"{'a': 0.003, 'e': 0.7819222249254772}",20,6,-0.843885854135713,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.003, 'e': 0.7795799733847004}",25,0,-47.62556105922704,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
